Publication Type,Authors,Article Title,Source Title,Publication Year,Author Keywords,Abstract,Research Areas,Open Access,Satellite,Application,Domain,ML Technique,Algorithm Complexity,Accuracy (%),F1-score (%),Precision (%),Recall (%),Producer accuracy (%),User accuracy (%),Pixel accuracy,Kappa (%),IoU (%),MIoU (%),Dice (%),R-squared,RMSE,MAE,Parameter Description
J,"Salah, Muhammad; Higa, Hiroto; Ishizaka, Joji; Salem, Salem Ibrahim",1D Convolutional Neural Network-based Chlorophyll-a Retrieval Algorithm for Sentinel-2 MultiSpectral Instrument in Various Trophic States,SENSORS AND MATERIALS,2023,chlorophyll-a; Sentinel-2; MultiSpectral Instrument; deep learning; convolutional neural network; ocean color,"Despite extensive research on chlorophyll-a (Chla) concentration retrieval methods from remote sensing reflectance (Rrs, sr(-1)) data, there remains a need for more reliable Chla retrieval techniques. In this study, we introduce a deep learning approach based on a 1D convolutional neural network (1D CNN) architecture. In addition, we provide a new method of representing the Rrs as a sequential vector. The model architecture targets the Sentinel-2 MultiSpectral Instrument (MSI) sensor. The proposed model was trained and tested on simulated and in situ data collected from broad trophic states in Japan and Vietnam waters with Chla concentrations ranging from 0.02 to 148.26 mg/m(3). The proposed model was evaluated against well-accepted state-of-the-art methods: ocean color three-band (OC3), ocean color index (OCI), two-band ratio, Blend, and a neural network model with a mixture density network. The evaluation shows that the proposed method outperforms other methods with a 7.48-38.02% reduction in root mean squared error (RMSE) and an 11.50-39.17% lower mean absolute error (MAE) than the other methods. The promising performance of the proposed model suggests that more attention should be paid to the domain of sequence modeling for Rrs and the architecture of 1D CNN.",Instruments & Instrumentation; Materials Science,yes,Sentinel-2,Estimating ocean surface chlorophyll-a,Water,Regression,no,,,,,,,,,,,,,4.12,1.06,Chl-a (mg/m3)
J,"Fathi, Mahdiyeh; Shah-Hosseini, Reza; Moghimi, Armin","3D-ResNet-BiLSTM Model: A Deep Learning Model for County-Level Soybean Yield Prediction with Time-Series Sentinel-1, Sentinel-2 Imagery, and Daymet Data",REMOTE SENSING,2023,soybean; yield prediction; Conv3D; ResNet; BiLSTM; Sentinel 1-2; Daymet; Google Earth Engine (GEE),"Ensuring food security in precision agriculture requires early prediction of soybean yield at various scales within the United States (U.S.), ranging from international to local levels. Accurate yield estimation is essential in preventing famine by providing insights into food availability during the growth season. Numerous deep learning (DL) algorithms have been developed to estimate soybean yield effectively using time-series remote sensing (RS) data to achieve this goal. However, the training data with short time spans can limit their ability to adapt to the dynamic and nuanced temporal changes in crop conditions. To address this challenge, we designed a 3D-ResNet-BiLSTM model to efficiently predict soybean yield at the county level across the U.S., even when using training data with shorter periods. We leveraged detailed Sentinel-2 imagery and Sentinel-1 SAR images to extract spectral bands, key vegetation indices (VIs), and VV and VH polarizations. Additionally, Daymet data was incorporated via Google Earth Engine (GEE) to enhance the model's input features. To process these inputs effectively, a dedicated 3D-ResNet architecture was designed to extract high-level features. These enriched features were then fed into a BiLSTM layer, enabling accurate prediction of soybean yield. To evaluate the efficacy of our model, its performance was compared with that of well-known models, including the Linear Regression (LR), Random Forest (RF), and 1D/2D/3D-ResNet models, as well as a 2D-CNN-LSTM model. The data from a short period (2019 to 2020) were used to train all models, while their accuracy was assessed using data from the year 2021. The experimental results showed that the proposed 3D-Resnet-BiLSTM model had a superior performance compared to the other models, achieving remarkable metrics (R2 = 0.791, RMSE = 5.56 Bu Ac-1, MAE = 4.35 Bu Ac-1, MAPE = 9%, and RRMSE = 10.49%). Furthermore, the 3D-ResNet-BiLSTM model showed a 7% higher R2 than the ResNet and RF models and an enhancement of 27% and 17% against the LR and 2D-CNN-LSTM models, respectively. The results highlighted our model's potential for accurate soybean yield predictions, supporting sustainable agriculture and food security.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Predicting soybean yield,Vegetation,Regression,yes,,,,,,,,,,,,0.745,6.085,4.895,Soybean yield (Bu Ac−1)
J,"Rawat, A; Kumar, A; Upadhyay, P; Kumar, S",A Comparative Study of 1D-Convolutional Neural Networks with Modified Possibilistic c-Mean Algorithm for Mapping Transplanted Paddy Fields Using Temporal Data,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,2022,Image classification; Temporal; 1D-CNN; MPCM; Fuzzy-based algorithm; Learning-based algorithm,"With increasing availability of satellite data of high temporal resolution, a more robust classifier is needed which can exploit the temporal information along with the spectral information of the remote sensing images. Specific fuzzy-based and learning-based algorithms are two broad categories and have the potential to perform well in spectral-temporal domain. In the present study, for mapping paddy fields as a specific class two classification algorithms, viz. fuzzy-based modified possibilistic c-mean (MPCM) algorithm and learning-based 1D-convolutional neural networks (CNN), were tested using Sentinel-2A/2B temporal data. The overall accuracy for learning-based 1D-CNN and fuzzy-based MPCM classifiers was found to be 96% and 93%, respectively. The F-measure values were found to be 0.95 and 0.92 for 1D-CNN- and MPCM-based classifier, respectively. Thus, it can be inferred from this study that the 1D-CNN classifier performed better than the traditional fuzzy-based classifier and can handle heterogeneity within class.",Environmental Sciences & Ecology; Remote Sensing,no,Sentinel-2,Mapping Transplanted Paddy Fields,Vegetation,Classification,no,96,95,,,,,,,,,,,,,
J,"Zhou, Xuewen; Xin, Qinchuan; Dai, Yongjiu; Li, Wanjing",A deep-learning-based experiment for benchmarking the performance of global terrestrial vegetation phenology models,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2021,convolutional neural network; land surface process; phenology metrics; remote sensing; vegetation phenology modelling,"Aim Vegetation phenology that characters the periodic life cycles of plants is indicative of the interactions between the biosphere and the atmosphere. Robust modelling of vegetation phenology metrics that correspond to canopy development events is essential to our understanding of how plants and ecosystems respond to a changing climate. Given considerable uncertainties associated with vegetation phenology modelling using numerical models, we explore the deep learning approach to predicting the timing of global vegetation phenology metrics. Location Global. Time period 2001-2015. Major taxa studied Deciduous vegetation (DV), stressed deciduous vegetation (SDV), evergreen vegetation (EV). Methods We developed a one-dimensional convolutional neural network regression (1D-CNNR) model with 10 hierarchical structures to model global vegetation phenology using meteorological variables as inputs. The developed deep learning model was evaluated using satellite-derived phenology metrics (i.e., green-up, maturity, senescence, and dormancy) and compared with the terrestrial ecosystem model Biome-BGC (BioGeochemical Cycles). Results Our experimental results show that the 1D-CNNR model well captures both the spatial pattern and inter-annual variation of satellite-derived multiyear vegetation phenology metrics on a global scale. The median root-mean-square errors (RMSEs) and standard deviations between phenology metrics derived from the Moderate Resolution Imaging Spectroradiometer (MODIS) data and predicted by the 1D-CNNR model on a global scale from 2001 to 2015 are 4.1 +/- 5.9, 4.2 +/- 12.1, 3.0 +/- 6.8, and 3.4 +/- 4.3 days for green-up, maturation, senescence, and dormancy, respectively, for the DV type; 13.3 +/- 29.6, 8.4 +/- 29.1, 8.1 +/- 21.3, and 9.1 +/- 21.6 days for green-up, maturation, senescence, and dormancy, respectively, for the SDV type; and 13.9 +/- 17.4, 17.7 +/- 34.6, 18.8 +/- 42.9, and 12.1 +/- 17.7 days for green-up, maturation, senescence, and dormancy, respectively, for the EV type. Main conclusions This research demonstrates that the 1D-CNNR model has the potential for large-scale modelling of vegetation phenology. Results from the deep learning model suggest that there is room to improve numerical vegetation phenology models for use in land surface models.",Environmental Sciences & Ecology; Physical Geography,no,MODIS,Global vegetation phenology,Vegetation,Regression,yes,,,,,,,,,,,,,,,
J,"Zeng, You; Liang, Tianlong; Fan, Donglin; He, Hongchang",A Novel Algorithm for the Retrieval of Chlorophyll a in Marine Environments Using Deep Learning,WATER,2023,marine; chlorophyll a; remote sensing inversion; deep learning,"Chlorophyll a (Chla) is a crucial pigment in phytoplankton, playing a vital role in determining phytoplankton biomass and water nutrient status. However, in optically complex water bodies, Chla concentration is no longer the primary factor influencing remote sensing spectral reflectance signals, leading to significant errors in traditional Chla concentration estimation methods. With advancements in in situ measurements, synchronized satellite data, and computer technology, machine learning algorithms have become popular in Chla concentration retrieval. Nevertheless, when using machine learning methods to estimate Chla concentration, abrupt changes in Chla values can disrupt the spatiotemporal smoothness of the retrieval results. Therefore, this study proposes a two-stage approach to enhance the accuracy of Chla concentration estimation in optically complex water bodies. In the first stage, a one-dimensional convolutional neural network (1D CNN) is employed for precise Chla retrieval, and in the second stage, the regression layer of the 1DCNN is replaced with support vector regression (SVR). The research findings are as follows: (1) In the first stage, the performance metrics (R2, RMSE, RMLSE, Bias, MAE) of the 1D CNN outperform state-of-the-art algorithms (OCI, SVR, RFR) on the test dataset. (2) After the second stage, the performance further improves, with the metrics achieving values of 0.892, 11.243, 0.052, 1.056, and 1.444, respectively. (3) In mid- to high-latitude regions, the inversion performance of 1D CNN\SVR is superior to other algorithms, exhibiting richer details and higher noise tolerance in nearshore areas. (4) 1D CNN\SVR demonstrates high inversion capabilities in water bodies with medium-to-high nutrient levels.",Environmental Sciences & Ecology; Water Resources,yes,MODIS,Retrieval of Chlorophyll a in Marine Environments,Water,Regression,no,,,,,,,,,,,,0.874,18.968,1.494,Chl-a (mg/m3)
J,"Ivanda, Antonia; Seric, Ljiljana; Zagar, Dusan; Ostir, Kristof",An application of 1D convolution and deep learning to remote sensing modelling of Secchi depth in the northern Adriatic Sea,BIG EARTH DATA,2023,Secchi; Sentinel-3; OLCI; 1D-CNN; Adriatic sea,"This paper presents a novel approach for predicting the water quality indicator - Secchi disk depth (ZSD). ZSD indirectly reflects water clarity and serves as a proxy for other quality parameters. This study utilizes Deep Neural Network (DNN) trained on satellite remote sensing and measured data from three sources: two datasets obtained from official agencies in Croatia and Slovenia, and one citizen science data source, all covering the northern coastal region of the Adriatic Sea. The proposed model uses 1D Convolutional Neural Network (CNN) in the spectral dimension to predict ZSD. The model's performance indicates a strong fit to the observed data, proving capability of 1D-CNN to capture changes in water transparency. On the test dataset, the model achieved a high R-squared value of 0.890, a low root mean squared error (RMSE) of 0.023 and mean absolute error (MAE) of 0.014. These results demonstrate that employing a 1D-CNN in the spectral dimension of Sentinel-3 OLCI data is an effective approach for predicting water quality. These findings have significant implications for monitoring ZSD in coastal areas. By integrating diverse data sources and leveraging advanced machine learning algorithms, a more accurate and comprehensive assessment of water quality can be achieved.",Computer Science; Geology; Remote Sensing,yes,Sentinel-3,Predicting secchi disk depth,Water,Regression,no,,,,,,,,,,,,0.89,2.3,1.4,Meter (m)
J,"Ma, Ye; Zhen, Zhen; Li, Fengri; Feng, Fujuan; Zhao, Yinghui","An innovative lightweight 1D-CNN model for efficient monitoring of large-scale forest composition: a case study of Heilongjiang Province, China",GISCIENCE & REMOTE SENSING,2023,1D-CNN; SEM; large-scale mapping; forest composition change monitoring; Landsat,"Large-scale forest composition mapping and change monitoring are essential for regional and national forest resource management, monitoring, and carbon stock assessment. However, the existing large-scale mapping methods are not effective enough in terms of efficiency and accuracy. To address this limitation, this study proposes a lightweight one-dimensional convolutional neural network (LW-CNN) model for forest composition mapping. The LW-CNN model is developed using Landsat imagery covering 470,700 km2 obtained from Google Earth Engine (GEE) collected during two periods (2007 and 2018). The proposed LW-CNN is compared with a visual geometry group with 16 convolutional layers (VGG16), a residual network with 34 convolutional layers (Resnet34), and a residual network with 50 convolutional layers (Resnet50) in terms of model accuracy and efficiency. The factors influencing forest composition change are analyzed using the structural equation model (SEM). The results show that the proposed LW-CNN model can outperform the other three models in terms of model accuracy, achieving a mean overall accuracy (OA) of: 0.75 and efficiency of 7-22-fold. The changed forest composition from 2007 to 2018 accounts for 29.6% of the total forest area. The SEM results show that the climate factors have the most significant effect on the forest composition change. This study presents an innovative model for large-scale forest composition mapping, which is proven to be both efficient and accurate. This study also provides insights into the factors that affect the forest composition change, which could be valuable for forest resource management, monitoring, and carbon stock assessment.",Physical Geography; Remote Sensing,yes,Landsat-8,Forest composition,Vegetation,Classification,yes,75,,,,,,,,,,,,,,
C,Cordova K.M.N.; Sritarapipat T.; Piyatadsananon P.,APPLICATION of CNN on LANDSLIDE SUSCEPTIBILITY ANALYSIS: CASE STUDY on 2018 HOKKAIDO EASTERN IBURI EARTHQUAKE,"42nd Asian Conference on Remote Sensing, ACRS 2021",2021,convolutional neural network; deep learning; landslides,"Landslides are one of the most common geohazards occurring worldwide. Landslide susceptibility mapping is crucial to vulnerable areas in terms of mitigating the future impacts from this reoccurrence. Landslide susceptibility mapping has been generated for a long time with standard methods such as fuzzy logic, analytical hierarchy process (AHP), and logistic regression. Recently, conventional machine learning algorithms have been considered as an advanced technique for landslide susceptibility mapping. In addition, it is possible to use artificial neural networks and deep learning models in place of conventional machine learning algorithms to provide significant results. This study proposes a deep 1-dimensional convolutional neural network (CNN-1D) model to predict landslides and evaluate its performance on landslide susceptibility mapping. The proposed model was applied to Hokkaido prefecture, where 4,350 landslide scars have been extracted and identified from satellite images dated shortly after the 2018 Hokkaido Eastern Iburi earthquake. As a result, the CNN-1D model provides 96% accuracy, with 97% precision on the landslide class with 94% recall. In conclusion, applying the deep learning technique (CNN- 1D model) can yield a significantly accurate landslide susceptibility map. © ACRS 2021.All right reserved.",,yes,Sentinel-2,Landslide susceptibility analysis,Geohazards,Classification,no,96,96,97,94,,,,,,,,,,,
J,"Tsangaratos, Paraskevas; Ilia, Ioanna; Chrysafi, Aikaterini-Alexandra; Matiatos, Ioannis; Chen, Wei; Hong, Haoyuan","Applying a 1D Convolutional Neural Network in Flood Susceptibility Assessments-The Case of the Island of Euboea, Greece",REMOTE SENSING,2023,flood susceptibility; remote sensing; convolutional neural network; geoinformatics; Euboea; Greece,"The main scope of the study is to evaluate the prognostic accuracy of a one-dimensional convolutional neural network model (1D-CNN), in flood susceptibility assessment, in a selected test site on the island of Euboea, Greece. Logistic regression (LR), Naive Bayes (NB), gradient boosting (GB), and a deep learning neural network (DLNN) model are the benchmark models used to compare their performance with that of a 1D-CNN model. Remote sensing (RS) techniques are used to collect the necessary flood related data, whereas thirteen flash-flood-related variables were used as predictive variables, such as elevation, slope, plan curvature, profile curvature, topographic wetness index, lithology, silt content, sand content, clay content, distance to faults, and distance to river network. The Weight of Evidence method was applied to calculate the correlation among the flood-related variables and to assign a weight value to each variable class. Regression analysis and multi-collinearity analysis were used to assess collinearity among the flood-related variables, whereas the Shapley Additive explanations method was used to rank the features by importance. The evaluation process involved estimating the predictive ability of all models via classification accuracy, sensitivity, specificity, and area under the success and predictive rate curves (AUC). The outcomes of the analysis confirmed that the 1D-CNN provided a higher accuracy (0.924), followed by LR (0.904) and DLNN (0.899). Overall, 1D-CNNs can be useful tools for analyzing flood susceptibility using remote sensing data, with high accuracy predictions.",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Flood Susceptibility Assessments,Geohazards,Classification,no,,,,,,,,,,,,,,,
C,M. Salah; H. Higa; J. Ishizaka; S. I. Salem,B1D-CNN: A Novel Convolution Neural Network-Based Chlorophyll-A Retrieval Algorithm for Sentinel-2 Data,IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,2023,Chlorophyll-a;CNN;MSI;Ocean Color,"Deep learning (DL) methods have been recently considered suitable for Chlorophyll-a (Chla) retrieval from satellite data due to their ability for handling complex, high-dimensional, and noisy data. This manuscript describes B1Dâ€“CNN, a new model combining 1D-convolutional neural networks (1D-CNN) and a traditional empirical blend algorithm to estimate Chla using the MultiSpectral Instrument (MSI) sensor on board the Sentinel-2 satellite. The proposed model is trained and evaluated against the state-of-the-art Mixture Density Network (MDN) and the classical Chla retrieval algorithms using global in-situ data. The results show a 9.25% to 54.12% improvement in the RMSE, along with a 3.45% to 59.53% reduction in the MAE. A satellite image during a harmful algal bloom (HABs) event was also assessed using B1Dâ€“CNN, and the proposed model captured the high Chla batches associated with HABs. This study indicates the advantages of using DL methods to retrieve Chla.",Deep learning;Satellites;Image color analysis;Instruments;Neural networks;Geoscience and remote sensing;Data models,yes,Sentinel-2,Estimating chlorophyll-a Concentration,Water,Regression,yes,,,,,,,,,,,,,11.87,6.71,Chl-a (mg/m3)
